,city,country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
374,yelizovo,ru,53.19,158.38,51.8,100.0,75,8.95,1596917673
375,bucyrus,us,40.81,-82.98,80.01,44.0,1,2.55,1596917673
376,den chai,th,17.98,100.05,75.54,92.0,100,2.39,1596917674
377,starosubkhangulovo,ru,53.1,57.44,59.49,92.0,100,3.47,1596917674
378,martin,sk,27.08,-80.42,93.99,74.0,40,9.17,1596917674
379,awjilah,ly,29.11,21.29,82.51,46.0,0,19.66,1596917674
380,oriximina,br,-1.77,-55.87,93.96,36.0,0,6.89,1596917674
381,tynset,no,62.28,10.78,50,93.0,99,11.41,1596917674
382,kisanga,tz,-7.44,37.7,70.5,63.0,24,4.32,1596917674
383,rangapara,in,26.82,92.65,80.65,89.0,100,0.85,1596917674
384,upala,cr,10.9,-85.01,86,66.0,75,9.17,1596917674
385,kawambwa,zm,-9.79,29.08,64.17,47.0,32,6.69,1596917674
386,tomari,ru,47.77,142.07,55.56,82.0,2,7.63,1596917674
387,masingbi,sl,8.78,-11.95,72.75,96.0,67,4.38,1596917674
388,carbonear,ca,47.73,-53.21,77,73.0,75,10.29,1596917674
389,norden,de,53.6,7.2,73.4,69.0,97,3.36,1596917675
390,avanigadda,in,16.02,80.92,82.67,78.0,100,9.33,1596917675
391,kloulklubed,pw,7.04,134.26,75.2,94.0,90,4.7,1596917675
392,mujiayingzi,cn,42.12,118.78,66,79.0,84,5.26,1596917675
393,mwense,zm,-10.38,28.7,68.7,37.0,0,7.49,1596917675
394,sainte-suzanne,re,-20.91,55.61,68,72.0,35,8.05,1596917675
395,chkalovskoye,ru,44.84,133.04,62.37,96.0,90,6.02,1596917675
396,rubiataba,br,-15.16,-49.8,83.66,25.0,0,3.33,1596917675
397,birecik,tr,37.03,37.99,80.6,54.0,0,8.05,1596917675
398,cherskiy,ru,68.75,161.3,45.32,89.0,98,10.47,1596917675
399,madras,in,13.09,80.28,77,100.0,90,9.17,1596917203
400,halvad,in,23.02,71.18,82.13,80.0,1,16.73,1596917675
401,arraias,br,-12.93,-46.94,83.48,29.0,91,7.31,1596917675
402,pala,td,9.36,14.9,74.26,87.0,95,3.87,1596917676
403,riverton,us,40.52,-111.94,93,14.0,1,12.75,1596917453
404,assare,br,-6.87,-39.88,85.91,32.0,1,9.53,1596917454
405,megion,ru,61.03,76.11,66.2,77.0,0,6.71,1596917469
406,asau,tv,46.43,26.4,77,61.0,66,9.17,1596917676
407,miles city,us,46.41,-105.84,84.2,16.0,1,5.82,1596917454
408,marang,my,5.21,103.21,77,94.0,40,2.24,1596917676
409,chkalovsk,tj,56.76,43.24,59,93.0,20,2.24,1596917676
410,cuenca,ec,-2.88,-78.98,55.4,71.0,90,8.05,1596917402
411,quime,bo,-16.98,-67.22,60.82,36.0,3,7.81,1596917676
412,turan,ru,16.07,108.22,78.8,88.0,20,2.24,1596917518
413,okha,ru,53.57,142.95,54.14,78.0,0,9.6,1596917677
414,diu,in,20.71,70.98,82.02,82.0,100,17.72,1596917677
415,darovskoy,ru,58.77,47.96,53.06,95.0,0,5.82,1596917677
416,qorveh,ir,35.17,47.8,60.55,51.0,0,6.69,1596917677
417,harrison,us,30.41,-89.04,91.4,62.0,1,9.17,1596917677
418,chai badan,th,15.2,101.13,81,88.0,95,5.7,1596917677
419,cheney,us,47.49,-117.58,78.01,35.0,90,9.17,1596917459
420,ananas,br,19.25,-71.96,87.8,70.0,40,13.87,1596917677
421,suileng,cn,47.25,127.08,62.62,97.0,100,8.57,1596917677
422,south valley,us,35.01,-106.68,91,20.0,20,5.82,1596917677
423,lyantonde,ug,-0.4,31.16,66.54,67.0,48,2.33,1596917677
424,jaromerice nad rokytnou,cz,49.09,15.89,75.2,53.0,0,6.93,1596917678
425,dokka,no,60.84,10.06,62.01,73.0,2,1.01,1596917678
426,miami,us,25.77,-80.19,91.99,59.0,40,12.75,1596917549
427,keningau,my,5.34,116.16,77,83.0,20,5.82,1596917397
428,torbat-e jam,ir,35.24,60.62,71.11,37.0,0,13.31,1596917678
429,chippewa falls,us,44.94,-91.39,84.99,62.0,90,8.05,1596917470
430,champerico,gt,14.3,-91.92,91.4,55.0,75,9.17,1596917678
431,harbour breton,ca,47.48,-55.8,65.08,81.0,93,8.9,1596917678
432,torva,ee,58,25.93,69.01,88.0,0,1.32,1596917678
433,pitimbu,br,-7.47,-34.81,78.8,78.0,20,13.87,1596917679
434,pandamatenga,bw,-18.53,25.63,61.97,49.0,0,4.63,1596917679
435,simbahan,ph,6.3,120.58,83.3,79.0,93,12.71,1596917679
436,sesheke,zm,-17.48,24.3,64.4,45.0,9,3.36,1596917679
437,lapua,fi,62.97,23.01,69.01,71.0,15,3,1596917679
438,murdochville,ca,48.96,-65.5,68.9,71.0,92,4.16,1596917679
439,viransehir,tr,37.24,39.76,82.02,45.0,0,10.83,1596917679
440,dombarovskiy,ru,50.76,59.54,65.89,82.0,96,10.04,1596917679
441,san alberto,py,7.76,-73.39,89.31,60.0,100,2.8,1596917679
442,buloh kasap,my,2.55,102.76,78.8,88.0,20,1.86,1596917679
443,ito,jp,34.97,139.08,75.99,84.0,84,1.01,1596917679
444,mingyue,cn,43.11,128.92,65.19,90.0,99,4.16,1596917680
445,ardakan,ir,32.31,54.02,84.2,25.0,20,9.17,1596917680
446,mihijam,in,23.85,86.88,83.88,79.0,100,5.06,1596917680
447,kota tinggi,my,1.74,103.9,80.6,88.0,20,2.24,1596917680
448,arak,ir,34.09,49.69,66.72,38.0,1,4.29,1596917640
449,nizhniy tagil,ru,57.92,59.97,58.21,77.0,100,11.36,1596917680
450,ninh binh,vn,20.25,105.97,79.74,91.0,21,3.98,1596917680
451,kropachevo,ru,55.01,57.99,59.31,96.0,100,10.38,1596917680
452,staropyshminsk,ru,56.94,60.9,62.6,100.0,40,8.95,1596917680
453,bulembu,sz,-25.97,31.13,55.4,58.0,0,6.93,1596917680
454,lake charles,us,30.21,-93.2,87.8,62.0,90,8.05,1596917623
455,upata,ve,8.01,-62.4,89.01,65.0,69,1.01,1596917681
456,yarensk,ru,62.17,49.09,54.77,83.0,92,3.31,1596917681
457,lixourion,gr,38.2,20.43,77,83.0,20,5.82,1596917681
458,yertsevo,ru,60.8,40.09,55.24,98.0,80,5.17,1596917681
459,rio claro,tt,-22.41,-47.56,82,30.0,40,4.7,1596917681
460,safford,us,32.83,-109.71,100.4,16.0,1,4.32,1596917681
461,alindao,cf,5.03,21.21,71.19,95.0,100,2.44,1596917216
462,riberalta,bo,-10.98,-66.1,97.77,22.0,56,3.8,1596917681
463,ormstown,ca,45.13,-74,81,51.0,20,9.17,1596917682
464,zhuhai,cn,22.28,113.57,84,88.0,40,6.93,1596917682
465,dana point,us,33.47,-117.7,82.99,67.0,20,3,1596917682
466,sangmelima,cm,2.93,11.98,67.89,95.0,91,4.27,1596917682
467,rockport,us,28.02,-97.05,93.2,56.0,1,12.75,1596917682
468,alta gracia,ar,-31.65,-64.43,72,40.0,38,6.93,1596917533
